Sehir,Marka,Seri,Model,Yil,Yakit,Km,Hp,Cc,Fiyat,Sehirici,Sehirdisi,Ortalama,Bagaj
Kocaeli,Opel ,1.4 Enjoy ,Corsa ,2016,Benzin,49000,90,1398,151500,7.8,4.9,6.0,285.0
Ankara,Nissan ,1.2 Street ,Micra ,2018,Benzin,43500,80,1198,151500,6.7,4.6,5.4,265.0
Antalya,Fiat ,1.6 E-Torq Easy ,Egea ,2019,Benzin,13500,110,1598,151500,8.5,5.0,6.3,520.0
Bolu,Opel ,1.4 Essentia ,Corsa ,2016,Benzin,48000,90,1398,151500,7.8,4.9,6.0,285.0
Ankara,Hyundai ,1.4 MPI Jump ,i20 ,2017,Benzin,32200,100,1368,151500,8.2,4.8,6.2,301.0
Antalya,Toyota ,1.4 D-4D Touch ,Corolla ,2015,Dizel,48500,90,1364,151500,4.9,3.7,4.1,452.0
Bilecik,Renault ,1.2 Turbo Joy ,Clio ,2018,Benzin,21000,120,1197,151500,6.6,4.4,5.2,300.0
Bursa,Kia ,1.0 MPI Live  ,Picanto ,2019,Benzin,2300,63.0,1300,151500,nan,,,
Manisa,Dacia ,0.9 TCe Stepway Easy-R ,Sandero ,2020,Benzin,8763,90,898,151500,5.7,4.7,5.1,320.0
Izmir,Opel ,1.4 Design ,Corsa ,2016,Benzin,48000,90,1398,151500,7.8,4.9,6.0,285.0
Istanbul,Opel ,1.4 Enjoy ,Corsa ,2016,Benzin,50000,90,1398,151500,7.8,4.9,6.0,285.0
Ordu,Suzuki ,1.2 Techno ,Baleno ,2017,Benzin,46000,90,1242,151500,5.6,4.2,4.7,320.0
Istanbul,Peugeot ,Active  ,208 1.2 PureTech ,2015,Benzin,40000,82,1199,151500,5.5,3.9,4.5,285.0
Istanbul,Honda ,1.4 Fun ,Jazz ,2011,Benzin,34800,100,1339,151500,6.5,4.7,5.4,399.0
Ankara,Peugeot ,Active  ,208 1.2 PureTech ,2016,Benzin,40500,82,1199,151500,4.6,3.9,4.2,285.0
Istanbul,Nissan ,1.2 Match ,Micra ,2018,Benzin,17500,80,1198,151500,6.7,4.6,5.4,265.0
Izmir,Seat ,Style ,Ibiza 1.0 EcoTSI ,2016,Benzin,43000,110,999,151500,5.3,3.9,4.4,292.0
Burdur,Opel ,1.4 T Edition Plus ,Astra ,2017,Benzin & LPG,29000,140,1364,151500,8.5,5.6,6.7,460.0
Ankara,Hyundai ,Mode Plus ,Accent Blue 1.4 D-CVVT ,2018,Benzin,22700,100,1368,151000,8.2,5.4,6.4,465.0
Ankara,Dacia ,0.9 TCe Stepway Easy-R ,Sandero ,2020,Benzin,2000,90,898,151600,5.7,4.7,5.1,320.0
Aydin,Opel ,1.4 Essentia ,Corsa ,2015,Benzin,32000,90,1398,151750,7.8,4.9,6.0,285.0
Istanbul,Ford ,1.4 Titanium ,Fiesta ,2012,Benzin,34000,96,1388,151750,8.9,5.1,6.5,281.0
Kocaeli,Opel ,1.4 Enjoy ,Corsa ,2019,Benzin,30800,90,1398,151750,7.8,4.9,6.0,285.0
Istanbul,Hyundai ,1.2 D-CVVT Elite ,i10 ,2016,Benzin,22000,87,1248,151750,7.4,5.0,5.9,252.0
Izmir,Opel ,1.4 Enjoy ,Corsa ,2016,Benzin,48500,90,1398,151750,7.8,4.9,6.0,285.0
Bolu,Dacia ,0.9 TCe Stepway Easy-R ,Sandero ,2020,Benzin,6500,90,898,151750,5.7,4.7,5.1,320.0
Antalya,Suzuki ,1.2 GL ,Swift ,2016,Benzin,24000,94,1242,151750,6.8,4.9,5.6,211.0
Istanbul,Fiat ,1.6 E-Torq Easy ,Egea ,2019,Benzin,37637,110,1598,151600,8.5,5.0,6.3,520.0
Bursa,Nissan ,1.2 Match ,Micra ,2017,Benzin,10500,80,1198,151900,6.7,4.6,5.4,265.0
Zonguldak,Nissan ,1.2 Street ,Micra ,2018,Benzin,8250,80,1198,151900,6.7,4.6,5.4,265.0
Istanbul,Nissan ,1.2 Street ,Micra ,2018,Benzin,9200,80,1198,151900,6.7,4.6,5.4,265.0
Canakkale,Hyundai ,1.4 MPI Jump ,i20 ,2017,Benzin,48102,100,1368,151900,8.2,4.8,6.2,301.0
Konya,Nissan ,1.2 Street ,Micra ,2018,Benzin,10500,80,1198,151900,6.7,4.6,5.4,265.0
Istanbul,Kia ,1.0 MPI Live  ,Picanto ,2020,Benzin,14250,67,998,151900,6.8,4.4,5.3,255.0
Istanbul,Kia ,1.0 MPI Live  ,Picanto ,2020,Benzin,13770,67,998,151900,6.8,4.4,5.3,255.0
Ankara,Kia ,1.0 MPI Cool ,Picanto ,2020,Benzin,7900,67,998,151900,nan,,,
Istanbul,Renault ,1.5 dCi Icon ,Fluence ,2015,Dizel,151,110,1461,151999,5.2,4.0,4.4,530.0
Istanbul,Renault ,1.2 Turbo Icon ,Clio ,2015,Benzin,26000,120,1197,151999,6.6,4.4,5.2,300.0
Balikesir,Opel ,1.4 Enjoy ,Corsa ,2017,Benzin,41911,90,1398,152000,7.8,4.9,6.0,285.0
Istanbul,Nissan ,1.2 Street ,Micra ,2018,Benzin,29000,80,1198,152000,6.7,4.6,5.4,265.0
Kutahya,Opel ,1.4 T Sport ,Astra ,2015,Benzin,25000,140,1364,152000,9.1,5.4,6.8,370.0
Sivas,Opel ,1.4 Essentia ,Corsa ,2016,Benzin & LPG,46000,90,1398,152000,7.8,4.9,6.0,285.0
Istanbul,Nissan ,1.2 Street ,Micra ,2018,Benzin,28000,80,1198,152000,6.7,4.6,5.4,265.0
Hatay,Hyundai ,1.4 MPI Jump ,i20 ,2017,Benzin,20500,100,1368,152000,8.2,4.8,6.2,301.0
Malatya,Hyundai ,1.4 MPI Jump ,i20 ,2016,Benzin,47681,100,1368,152000,8.2,4.8,6.2,301.0
Istanbul,Hyundai ,1.0 D-CVVT Jump ,i10 ,2018,Benzin,25000,65,998,152000,7.3,4.8,5.8,252.0
Canakkale,Ford ,1.6 Ti-VCT Style ,Focus ,2012,Benzin,19500,125,1596,152000,8.1,4.8,6.0,428.0
Kirikkale,Hyundai ,1.4 MPI Elite ,i20 ,2015,Benzin & LPG,31000,100,1368,152000,8.5,5.1,6.4,301.0
Gaziantep,Volkswagen ,1.6 TDI Highline ,Jetta ,2012,Dizel,125,105,1598,152000,5.6,4.2,4.7,510.0
Istanbul,Opel ,1.4 Essentia ,Corsa ,2017,Benzin,48000,90,1398,152000,7.8,4.9,6.0,285.0
Istanbul,Toyota ,1.6 Comfort Extra ,Auris ,2012,Benzin,46000,124,1598,152000,9.1,5.9,7.1,354.0
Istanbul,Dacia ,1.5 dCi Stepway ,Sandero ,2017,Dizel,48127,90,1461,152000,3.9,3.8,3.8,320.0
Sakarya,Dacia ,1.5 dCi Stepway ,Sandero ,2017,Dizel,49000,90,1461,152000,3.9,3.8,3.8,320.0
Ankara,Kia ,1.0 MPI Cool ,Picanto ,2020,Benzin,0,67,998,152000,nan,,,
Adiyaman,Renault ,1.5 dCi Icon ,Fluence ,2014,Dizel,147,110,1461,152000,5.2,4.0,4.4,530.0
Adana,Renault ,1.5 dCi Icon ,Clio ,2017,Dizel,36000,90,1461,152000,4.3,3.3,3.7,300.0
Manisa,Opel ,1.4 Enjoy ,Corsa ,2017,Benzin,38000,90,1398,152000,7.8,4.9,6.0,285.0
Mersin,Renault ,1.2 Icon ,Clio ,2016,Benzin,46000,88.0,1300,152000,nan,,,
Diyarbakir,Nissan ,1.2 Match ,Micra ,2017,Benzin & LPG,46000,80,1198,152000,6.7,4.6,5.4,265.0
Istanbul,Hyundai ,1.4 MPI Style  ,i20 ,2017,Benzin,35000,100,1368,152000,8.5,5.1,6.4,301.0
Mersin,Kia ,1.4 CVVT Concept ,Rio ,2015,Benzin,42000,109,1396,152000,8.5,5.0,6.3,288.0
Ankara,Nissan ,1.2 Match ,Micra ,2017,Benzin,21300,80,1198,152000,6.7,4.6,5.4,265.0
Erzurum,Hyundai ,1.2 D-CVVT Elite ,i10 ,2018,Benzin,17850,87,1248,152000,7.4,5.0,5.9,252.0
Van,Volkswagen ,1.2 TSI Comfortline ,Polo ,2017,Benzin,29000,90,1197,152000,5.8,4.1,4.7,280.0
Istanbul,Opel ,1.4 Enjoy ,Corsa ,2016,Benzin,32300,90,1398,152000,7.8,4.9,6.0,285.0
Bursa,Opel ,1.4 Essentia ,Corsa ,2015,Benzin,31000,90,1398,152000,7.8,4.9,6.0,285.0
Igdir,Ford ,1.6 Titanium ,B-Max ,2014,Benzin,50000,105,1596,152000,8.6,5.1,6.2,318.0
Kocaeli,Hyundai ,1.4 MPI Jump ,i20 ,2018,Benzin,33000,100,1368,152000,8.2,4.8,6.2,301.0
Istanbul,Suzuki ,1.2 GL ,Swift ,2016,Benzin,25000,94,1242,152000,6.8,4.9,5.6,211.0
Istanbul,Hyundai ,1.2 D-CVVT Elite ,i10 ,2017,Benzin,45000,87,1248,152000,7.4,5.0,5.9,252.0
Mardin,Fiat ,1.6 E-Torq Lounge ,Egea ,2017,Benzin & LPG,41000,110,1598,152000,8.5,5.0,6.3,520.0
Istanbul,Peugeot ,Active  ,208 1.2 PureTech ,2018,Benzin,29520,82,1199,152000,4.6,3.9,4.2,285.0
Istanbul,Hyundai ,1.4 CVVT Sense ,i20 ,2014,Benzin,10605,100,1396,152000,8.1,4.8,6.0,295.0
Hatay,Nissan ,1.2 Street ,Micra ,2015,Benzin & LPG,27100,80,1198,152000,6.7,4.6,5.4,265.0
Nigde,Seat ,1.2 TSI Style ,Ibiza ,2012,Benzin,47000,105,1197,152000,0.7,4.4,5.3,292.0
Istanbul,Nissan ,1.2 Street ,Micra ,2017,Benzin,6900,80,1198,152000,6.7,4.6,5.4,265.0
Gaziantep,Volkswagen ,1.2 TSI Comfortline ,Polo ,2014,Benzin,28000,90,1197,152000,5.8,4.1,4.7,280.0
Ankara,Opel ,1.4 Enjoy ,Corsa ,2016,Benzin,39000,90,1398,152000,7.8,4.9,6.0,285.0
Ordu,Toyota ,1.6 Advance ,Auris ,2016,Benzin & LPG,45000,132,1598,152000,7.8,5.2,6.1,360.0
Istanbul,Peugeot ,Active  ,208 1.2 PureTech ,2017,Benzin,40000,82,1199,152000,4.6,3.9,4.2,285.0
Samsun,Hyundai ,1.4 MPI Jump ,i20 ,2016,Benzin & LPG,35000,100,1368,152000,8.2,4.8,6.2,301.0
Ankara,Opel ,1.4 Enjoy ,Corsa ,2015,Benzin,48000,90,1398,152000,7.8,4.9,6.0,285.0
Izmir,Nissan ,1.2 Street ,Micra ,2018,Benzin,13000,80,1198,152000,6.7,4.6,5.4,265.0
Eskisehir,Dacia ,0.9 TCe Stepway Easy-R ,Sandero ,2018,Benzin,30900,90,898,152000,5.7,4.7,5.1,320.0
Istanbul,Dacia ,1.5 dCi Stepway ,Sandero ,2017,Dizel,20500,90,1461,152000,3.9,3.8,3.8,320.0
Amasya,Dacia ,1.5 dCi Stepway ,Sandero ,2017,Dizel,42000,90,1461,152000,3.9,3.8,3.8,320.0
Manisa,Opel ,1.4 Essentia ,Corsa ,2017,Benzin,29000,90,1398,152000,7.8,4.9,6.0,285.0
Istanbul,Hyundai ,1.6 GDi Style ,i30 ,2015,Benzin,39084,135,1591,152000,7.5,4.8,5.8,378.0
Istanbul,Kia ,1.4 CVVT Comfort ,Rio ,2016,Benzin,9500,109,1396,152000,8.5,5.0,6.3,288.0
Antalya,Opel ,1.4 Color Edition ,Corsa ,2015,Benzin,29000,90,1398,152500,7.8,4.9,6.0,285.0
Zonguldak,Nissan ,1.2 Match ,Micra ,2013,Benzin,15000,80,1198,152500,6.7,4.6,5.4,265.0
Afyonkarahisar,Opel ,1.4 Essentia ,Corsa ,2015,Benzin,50000,90,1398,152500,7.8,4.9,6.0,285.0
Kastamonu,Opel ,1.4 Enjoy ,Corsa ,2015,Benzin,47000,88.0,1450.5,152500,nan,,,
Mersin,Peugeot ,Active  ,208 1.2 PureTech ,2017,Benzin,24000,82,1199,152500,4.6,3.9,4.2,285.0
Denizli,Ford ,1.6 Trend ,B-Max ,2015,Benzin,38500,105,1596,151000,8.6,5.1,6.4,318.0
Izmir,Hyundai ,1.4 MPI Jump ,i20 ,2017,Benzin,43601,100,1368,152500,8.2,4.8,6.2,301.0
Gaziantep,Peugeot ,Access ,208 1.2 PureTech ,2015,Benzin,30000,82,1199,152500,5.5,3.9,4.5,285.0
Diyarbakir,Fiat ,1.6 E-Torq Urban Plus ,Egea ,2016,Benzin,18500,110,1598,152500,9.2,4.6,6.3,440.0
Istanbul,Opel ,1.4 Enjoy ,Corsa ,2015,Benzin,43000,90,1398,152500,7.8,4.9,6.0,285.0
Bursa,Opel ,1.4 Enjoy ,Corsa ,2015,Benzin,46500,88.0,1450.5,152500,nan,,,
Kastamonu,Hyundai ,Mode Plus ,Accent Blue 1.4 D-CVVT ,2015,Benzin,30500,100,1368,152500,8.2,5.4,6.4,465.0
Kocaeli,Suzuki ,1.2 GL ,Swift ,2016,Benzin,11450,94,1242,152500,6.8,4.9,5.6,211.0
Izmir,Nissan ,1.2 Match ,Micra ,2018,Benzin,34500,80,1198,152500,6.7,4.6,5.4,265.0
Ankara,Renault ,1.2 Turbo Icon ,Clio ,2015,Benzin,35000,120,1197,152500,6.6,4.4,5.2,300.0
Izmir,Nissan ,1.2 Match ,Micra ,2016,Benzin,33000,80,1198,152500,6.7,4.6,5.4,265.0
Nevsehir,Opel ,1.4 Design ,Corsa ,2016,Benzin,45000,90,1398,152500,7.8,4.9,6.0,285.0
